"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Fortnite","1","Fortnite","7886192940","490009200","687062","17450","974227","176899","10991","16.09","Fortnite"
"League of Legends","2","League of Legends","4880996340","88548360","1029879","2773","144072","109488","1986","55.12","League of Legends"
"Dota 2","3","Dota 2","4186586040","26366220","749471","1102","36075","93911","591","158.79","Dota 2"
"World of Warcraft","4","World of Warcraft","3371437980","85449720","590245","15619","95903","75626","1916","39.46","World of Warcraft"
"IRL","5","IRL","2924798220","41430420","264068","1406","132462","65607","929","70.6","IRL"
"Hearthstone","6","Hearthstone","2268642480","13986600","251577","1932","30887","50889","313","162.2","Hearthstone"
"PLAYERUNKNOWN'S BATTLEGROUNDS","7","PLAYERUNKNOWN'S BATTLEGROUNDS","2128823640","81403860","143941","2918","137405","47752","1826","26.15","PLAYERUNKNOWN'S BATTLEGROUNDS"
"Overwatch","8","Overwatch","1385429700","59008920","135822","2413","137844","31077","1323","23.48","Overwatch"
"Counter-Strike: Global Offensive","9","Counter-Strike: Global Offensive","1301873940","45621960","187317","1846","121482","29203","1023","28.54","Counter-Strike: Global Offensive"
"Grand Theft Auto V","10","Grand Theft Auto V","916414440","27615360","60680","1214","70607","20556","619","33.18","Grand Theft Auto V"
"Tom Clancy's Rainbow Six: Siege","11","Tom Clancy's Rainbow Six: Siege","850676220","49285260","211067","2018","142627","19082","1105","17.26","Tom Clancy's Rainbow Six: Siege"
"Monster Hunter: World","12","Monster Hunter: World","685818000","40351140","128595","5262","66815","15383","905","17","Monster Hunter: World"
"Dead by Daylight","13","Dead by Daylight","611255280","33409740","146848","1453","82430","13711","749","18.3","Dead by Daylight"
"Casino_old","14","Casino_old","573549600","3269520","56607","120","1785","12865","73","175.42","Casino_old"
"SCUM","15","SCUM","438686820","5343300","217830","2803","17061","9840","119","82.1","SCUM"
"Escape From Tarkov","16","Escape From Tarkov","405456180","12846120","51782","508","13694","9095","288","31.56","Escape From Tarkov"
"Destiny 2","17","Destiny 2","377270700","29426940","91330","1511","53602","8462","660","12.82","Destiny 2"
"Call of Duty: Black Ops 4","18","Call of Duty: Black Ops 4","367587900","12270360","168872","3680","42041","8245","275","29.96","Call of Duty: Black Ops 4"
"Heroes of the Storm","19","Heroes of the Storm","340383000","7849620","61037","299","13432","7635","176","43.36","Heroes of the Storm"
"StarCraft II","20","StarCraft II","321117780","4135080","50931","142","6797","7203","92","77.66","StarCraft II"
"Minecraft","21","Minecraft","320164980","18362100","44143","877","47426","7181","411","17.44","Minecraft"
"Music","22","Music","314564700","11235000","30978","335","11441","7056","252","28","Music"
"Street Fighter V","23","Street Fighter V","313586820","2530380","194902","195","5754","7034","56","123.93","Street Fighter V"
"Talk Shows & Podcasts","24","Talk Shows & Podcasts","312853680","2998680","346483","198","8595","7017","67","104.33","Talk Shows & Podcasts"
"Old School RuneScape","25","Old School RuneScape","273675780","5943900","22048","215","8117","6138","133","46.04","Old School RuneScape"